    #,        th,       tth,  Seconds,  Monitor, Detector,     dead,       i1,       i2,       i3,       i4,   normlz,    Foils,     TEMP,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,  keith_I,  keith_V,    CTEMP,    Timer,  tempsec,     pd17,     pd18, agi34410,  agidaq1,  agidaq2,  agidaq3,  agidaq4,   CTEMPB
   38,     15.42,     30.84,   1.0000,  0.15169,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  3625686,        4,       39,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   39,     15.76,     31.52,   1.0000,  0.15158,        0,        0,        0,  0.00032,        0,        0,        0,        0,        0,   856095,        1,       29,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   40,      16.1,      32.2,   1.0000,  0.15166,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,   830405,        2,       37,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   41,     16.44,     32.88,   1.0000,  0.15152,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,   817153,        6,       35,       92,       92,       92,       92,       92,       92,       92,       92,       92,       92,       92,       92,       92,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   42,     16.78,     33.56,   1.0000,  0.15189,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,   993005,        6,       50,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   43,     17.12,     34.24,   1.0000,  0.15157,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  1697008,        2,       30,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   44,     17.46,     34.92,   1.0000,  0.15119,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,  1989969,        3,       36,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   45,      17.8,      35.6,   1.0000,  0.15151,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  2061473,        2,       31,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   46,     18.14,     36.28,   1.0000,  0.15145,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3257640,        0,       25,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   47,     18.48,     36.96,   1.0000,  0.15167,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3440702,        3,       34,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   48,     18.82,     37.64,   1.0000,  0.15193,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,  3477089,        1,       40,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   49,     19.16,     38.32,   1.0000,  0.15172,        0,        0,        0,  0.00032,        0,        0,        0,        0,        0,  3021524,        3,       32,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   50,      19.5,        39,   1.0000,  0.15146,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3249247,        2,       38,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
